1. [**Working Student – QA Test Engineer (Embedded & Cloud) (d/f/m) - Digital Transformation**](https://www.stepstone.de/stellenangebote--Working-Student-QA-Test-Engineer-Embedded-Cloud-d-f-m-Digital-Transformation-Duesseldorf-TK-Elevator-GmbH--14004643-inline.html) | Manual QA | 📍 Düsseldorf | 📅 6 days ago  
2. [**Quality Assurance Engineer (m/f/d)**](https://www.stepstone.de/stellenangebote--Quality-Assurance-Engineer-m-f-d-Leer-Forterro-Deutschland-GmbH--14061514-inline.html) | QA Automation | 📍 Leer | 📅 6 days ago  
3. [**QA Tester - Manual Testing & User Experience (w/m/d)**](https://www.stepstone.de/stellenangebote--QA-Tester-Manual-Testing-User-Experience-w-m-d-Berlin-eClear-AG--12875515-inline.html) | Manual QA | 📍 Berlin | 📅 1 week ago  
4. [**QA Engineer - Core Database (remote)**](https://www.stepstone.de/stellenangebote--QA-Engineer-Core-Database-remote-Germany-remote-Clickhouse-GmbH--13906167-inline.html) | QA Automation | 📍 Germany (remote) | 📅 2 days ago  
5. [**Student Worker**](https://www.stepstone.de/stellenangebote--Student-Worker-Dusseldorf-Germany-BlackBerry-Deutschland-GmbH--14045480-inline.html) | Manual QA | 📍 Düsseldorf, Germany | 📅 1 week ago  
6. [**QA CSV Specialist (m/w/d)**](https://www.stepstone.de/stellenangebote--QA-CSV-Specialist-m-w-d-Hechingen-Bentley-InnoMed-GmbH--14092416-inline.html) | Manual QA | 📍 Hechingen | 📅 8 hours ago  
7. [**Software Quality Assurance / QA Engineer (m/w/d)**](https://www.stepstone.de/stellenangebote--Software-Quality-Assurance-QA-Engineer-m-w-d-Langen-Hessen-Advancis-Software-Services-GmbH--14091326-inline.html) | QA Automation | 📍 Langen (Hessen) | 📅 14 hours ago  
8. [**QA Deviation & Complaint Manager (m/w/d)**](https://www.stepstone.de/stellenangebote--QA-Deviation-Complaint-Manager-m-w-d-Ennigerloh-Rottendorf-Pharma-GmbH--14070027-inline.html) | Manual QA | 📍 Ennigerloh | 📅 4 days ago  
9. [**CRM Salesforce/ Application Testing & QA Specialist (m/w/d)**](https://www.stepstone.de/stellenangebote--CRM-Salesforce-Application-Testing-QA-Specialist-m-w-d-Kiel-CITTI-Handelsgesellschaft-mbH-Co-KG--14060906-inline.html) | QA Automation | 📍 Kiel | 📅 6 days ago  
10. [**Expert QA Operations (m/w/d) - Operational Technology (OT) Oversight**](https://www.stepstone.de/stellenangebote--Expert-QA-Operations-m-w-d-Operational-Technology-OT-Oversight-Pfaffenhofen-an-der-Ilm-Daiichi-Sankyo-Europe-GmbH--14015050-inline.html) | QA Automation | 📍 Pfaffenhofen an der Ilm | 📅 4 days ago  
11. [**IT-Qualitätssicherung / QA Engineer (m/w/d) - Schwerpunkt Webanwendungen**](https://www.stepstone.de/stellenangebote--IT-Qualitaetssicherung-QA-Engineer-m-w-d-Schwerpunkt-Webanwendungen-Hannover-fb-research-GmbH--14000451-inline.html) | QA Automation | 📍 Hannover | 📅 1 week ago  
12. [**QA Automation Engineer (gn)**](https://www.stepstone.de/stellenangebote--QA-Automation-Engineer-gn-Berlin-OPTIMAL-SYSTEMS-GmbH--14050335-inline.html) | QA Automation | 📍 Berlin | 📅 1 week ago  
13. [**QA-Engineer / Softwaretester (m/w/d)**](https://www.stepstone.de/stellenangebote--QA-Engineer-Softwaretester-m-w-d-Salem-am-Bodensee-INNOSYSTEC-GmbH--14035004-inline.html) | Manual QA | 📍 Salem am Bodensee | 📅 1 week ago  
