1. **SDET Engineer, Query** | QA Automation | 📍 Dublin, Partially Remote | 📅 vor 19 Stunden | 🔗 https://www.stepstone.de/stellenangebote--SDET-Engineer-Query-Dublin-MongoDB-Inc--13734750-inline.html  
2. **Test Engineer - QA Consultant (m/w/d)** | Hybrid QA | 📍 Hamburg, Partially Remote | 📅 vor 17 Stunden | 🔗 https://www.stepstone.de/stellenangebote--Test-Engineer-QA-Consultant-m-w-d-Hamburg-Nelta-GmbH-Co-KG--13736109-inline.html  
3. **Software-Testautomatisierer/in (m/w/d)** | QA Automation | 📍 Nürnberg, Partially Remote | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Software-Testautomatisierer-in-m-w-d-Nuernberg-SimplyTest-GmbH--13689054-inline.html  
4. **QA Engineer / Software Test Engineer (m/f/d)** | Hybrid QA | 📍 Magdeburg, Partially Remote | 📅 vor 4 Tagen | 🔗 https://www.stepstone.de/stellenangebote--QA-Engineer-Software-Test-Engineer-m-f-d-Magdeburg-HASOMED-Hard-und-Software-fuer-Medizin-Gesellschaft-mbH--13576880-inline.html  
5. **Senior Softwaretester (m/w/d) – KI & Testautomatisierung** | QA Automation | 📍 Hannover | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Senior-Softwaretester-m-w-d-KI-Testautomatisierung-Hannover-TAIFUN-Software-GmbH--13651182-inline.html  
6. **QA Engineer (m/w/d)** | Hybrid QA | 📍 Berlin, Partially Remote | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--QA-Engineer-m-w-d-Berlin-aconium-GmbH--13436962-inline.html  
7. **(Senior) Testautomatisierer (m/w/d)** | QA Automation | 📍 Berlin, Partially Remote | 📅 vor 3 Tagen | 🔗 https://www.stepstone.de/stellenangebote--Senior-Testautomatisierer-m-w-d-Berlin-FOURENERGY-GmbH--13666759-inline.html  
8. **(Senior) Testautomatisierer (m/w/d)** | QA Automation | Remote, Partially Remote | 📅 vor 2 Wochen | 🔗 https://www.stepstone.de/stellenangebote--Senior-Testautomatisierer-m-w-d-Remote-FOURENERGY-GmbH--13032200-inline.html  
9. **Quality Assurance Automation Engineer (m/f/d)** | QA Automation | 📍 Augsburg, Partially Remote | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Quality-Assurance-Automation-Engineer-m-f-d-Augsburg-MoPla-Solutions-GmbH--13693328-inline.html  
10. **Werkstudent Test Automation (m/w/d)** | QA Automation | 📍 Berlin | 📅 vor 1 Woche | 🔗 https://www.stepstone.de/stellenangebote--Werkstudent-Test-Automation-m-w-d-Berlin-nexnet-GmbH--13700395-inline.html  
11. **Senior Software QA Engineer C# (mwd)** | Hybrid QA | 📍 München | 📅 vor 2 Wochen | 🔗 https://www.stepstone.de/stellenangebote--Senior-Software-QA-Engineer-C-mwd-Muenchen-Vesterling-AG--13363681-inline.html  
